path,question,gt_answer,pred_answer,is_correct
14/14fe8812.jpg,What is in the image?,Glass,glass,True
14/14fe8812.jpg,What is the primary color?,Clear,white,False
14/14fe8812.jpg,How many items are present?,One,1,True
da/daab0cad.jpg,What is pictured?,Glass,glass,True
da/daab0cad.jpg,What is the shape?,Tall,round,False
da/daab0cad.jpg,What is the primary color?,Clear,white,False
d2/d2daaae9.jpg,What is in the image?,Glass,glass,True
d2/d2daaae9.jpg,What is its shape?,Round,round,True
d2/d2daaae9.jpg,Is it transparent?,Yes,yes,True
3a/3a4e88e6.jpg,What is in the image?,Glass,vases,False
3a/3a4e88e6.jpg,What color is the base?,Blue,blue,True
3a/3a4e88e6.jpg,How many glasses are there?,Three,3,True
d9/d91ab9cf.jpg,What is in the image?,Oil,blurry,False
d9/d91ab9cf.jpg,What color is it?,Gold,yellow,False
d9/d91ab9cf.jpg,What is its texture?,Liquid,blurry,False
20/20098c4d.jpg,What is in the image?,Oil,vase,False
20/20098c4d.jpg,What color is it?,Green,green,True
20/20098c4d.jpg,What is the primary shade?,Olive,green,False
99/9987a1c8.jpg,What is in the image?,Stand,cabinet,False
99/9987a1c8.jpg,What color is it?,Brown,brown,True
99/9987a1c8.jpg,What shape is the top?,Rectangular,square,False
89/89a2ff4d.jpg,What is in the image?,Sleeve,toaster oven,False
89/89a2ff4d.jpg,What color is it?,Black,black and white,False
89/89a2ff4d.jpg,What is its shape?,Rectangle,rectangle,True
ee/ee239f0f.jpg,What is in the image?,Tree,furniture,False
ee/ee239f0f.jpg,What is the primary color?,Grey,white,False
ee/ee239f0f.jpg,What material is visible?,Wood,wood,True
75/75536bf9.jpg,What is shown?,Juice,blurry picture,False
75/75536bf9.jpg,What color is it?,Yellow,yellow,True
75/75536bf9.jpg,What is listed?,Ingredients,nothing,False
82/82870e05.jpg,What is shown?,text,reflection,False
82/82870e05.jpg,What color is it?,green,green,True
82/82870e05.jpg,What is the ingredient?,Oil,sugar,False
8d/8d32b49b.jpg,What is shown?,text,sign,False
8d/8d32b49b.jpg,What color is it?,orange,orange,True
8d/8d32b49b.jpg,What is listed?,Ingredients,instructions,False
db/db67ce7b.jpg,What is depicted?,Bracket,hand,False
db/db67ce7b.jpg,What color is it?,White,white,True
db/db67ce7b.jpg,How many are shown?,Four,2,False
3b/3b629f59.jpg,What is pictured?,Bulb,light bulb,False
3b/3b629f59.jpg,What shape is it?,Round,round,True
3b/3b629f59.jpg,What is its color?,Clear,white,False
5b/5bccefa9.jpg,What is depicted?,Brush,kite,False
5b/5bccefa9.jpg,What color is the handle?,Purple,black,False
5b/5bccefa9.jpg,What color are the bristles?,Black,white,False
b5/b516eb12.jpg,What is shown?,Cup,cup,True
b5/b516eb12.jpg,What color is it?,White,white,True
b5/b516eb12.jpg,What is it made of?,Paper,plastic,False
88/8815de6b.jpg,What is depicted?,Cup,cup,True
88/8815de6b.jpg,What color is it?,White,white,True
88/8815de6b.jpg,What is it made of?,Paper,plastic,False
a3/a3466a5b.jpg,What is shown?,Ingredients,words,False
a3/a3466a5b.jpg,What color is the background?,White,white,True
a3/a3466a5b.jpg,What color is the text?,Black,black,True
12/12bdb2fc.jpg,What is in the image?,bottle,man ' s body,False
12/12bdb2fc.jpg,What color is it?,white,white,True
12/12bdb2fc.jpg,How many bottles are shown?,One,one,True
5f/5f3015bc.jpg,What is in the image?,Roll,man,False
5f/5f3015bc.jpg,What color is the packaging?,Brown,red,False
5f/5f3015bc.jpg,What shape is the roll?,Rectangular,circle,False
fd/fdce7f82.jpg,What is shown?,Box,man,False
fd/fdce7f82.jpg,What color is it?,White,white,True
fd/fdce7f82.jpg,What is its shape?,Rectangular,person,False
52/5277c8bb.jpg,What is in the image?,Plate,person,False
52/5277c8bb.jpg,What color is it?,White,white,True
52/5277c8bb.jpg,What shape is it?,Round,circle,False
74/7497984e.jpg,What is in the image?,Ingredients,black and white,False
74/7497984e.jpg,What color is the text?,Black,black,True
74/7497984e.jpg,What is the text about?,Oil,music,False
ac/ac122ec8.jpg,What is pictured?,Bulb,light bulb,False
ac/ac122ec8.jpg,What color is it?,White,white,True
ac/ac122ec8.jpg,What is its shape?,Reflector,round,False
1c/1c58212f.jpg,What is shown in the image?,Box,toilet seat,False
1c/1c58212f.jpg,What color is the box?,Beige,white,False
1c/1c58212f.jpg,What is on the box?,Handle,lid,False
fa/fa1036e5.jpg,What is in the image?,bottle,hand,False
fa/fa1036e5.jpg,What color is it?,white,white,True
fa/fa1036e5.jpg,What is the container made of?,plastic,plastic,True
dd/ddb15fbf.jpg,What item is visible?,Cup,cup,True
dd/ddb15fbf.jpg,What color is it?,White,white,True
dd/ddb15fbf.jpg,What is it made of?,Paper,plastic,False
66/66dd9312.jpg,What is pictured?,Bulb,light bulb,False
66/66dd9312.jpg,What color is it?,White,white,True
66/66dd9312.jpg,What is its shape?,Round,heart,False
ff/fff2ce0a.jpg,What item is visible?,Bottle,medicine,False
ff/fff2ce0a.jpg,What color is the bottle?,White,white,True
ff/fff2ce0a.jpg,What shape is the bottle?,Cylinder,square,False
89/8935d31b.jpg,What is in the image?,Caddy,urinal,False
89/8935d31b.jpg,What color is it?,White,white,True
89/8935d31b.jpg,How many baskets are shown?,Two,2,True
16/165b2093.jpg,What is in the image?,Bulb,lamp,False
16/165b2093.jpg,What shape is it?,PAR30,round,False
16/165b2093.jpg,What color is it?,White,white,True
2e/2e5f2981.jpg,What is in the image?,Ball,toy,False
2e/2e5f2981.jpg,What color is it?,Red,red,True
2e/2e5f2981.jpg,What shape is it?,Sphere,round,False
75/7582424c.jpg,What is in the image?,Toothbrush,toothbrush,True
75/7582424c.jpg,What color is the handle?,Purple,pink,False
75/7582424c.jpg,How many are shown?,One,2,False
e7/e7790be4.jpg,What item is visible?,Bulb,light,False
e7/e7790be4.jpg,What is its shape?,Glass,hand,False
e7/e7790be4.jpg,What is its color?,Clear,white,False
42/42711cf5.jpg,What is in the image?,Can,hand,False
42/42711cf5.jpg,What color is it?,Pink,white,False
42/42711cf5.jpg,How many?,Twelve,1,False
7f/7f52f0ad.jpg,What is in the image?,Drawer,white container,False
7f/7f52f0ad.jpg,What color is it?,White,white,True
7f/7f52f0ad.jpg,How many are shown?,One,2,False
43/4323cfbb.jpg,What is in the image?,Handle,man,False
43/4323cfbb.jpg,What color is it?,Black,white,False
43/4323cfbb.jpg,What shape is it?,Square,rectangle,False
10/1041934c.jpg,What is in the image?,Pan,man,False
10/1041934c.jpg,What color is it?,Steel,white,False
10/1041934c.jpg,What is the handle made of?,Metal,metal,True
a3/a3132c0d.jpg,What item is visible?,Raisins,book,False
a3/a3132c0d.jpg,What color are they?,Brown,white,False
a3/a3132c0d.jpg,What is the packaging?,Bag,donut,False
71/71ea22d7.jpg,What is depicted?,Peeler,scissors,False
71/71ea22d7.jpg,What color is the handle?,Green,green,True
71/71ea22d7.jpg,What is the primary color?,Grey,white,False
9d/9d0d49d0.jpg,What is in the image?,Bulb,light bulb,False
9d/9d0d49d0.jpg,What shape is it?,Round,round,True
9d/9d0d49d0.jpg,What color is it?,White,white,True
fa/fad382fa.jpg,What is depicted?,Glass,glass,True
fa/fad382fa.jpg,What is its color?,Clear,white,False
fa/fad382fa.jpg,What is it made of?,Plastic,glass,False
ba/babb35db.jpg,What is in the image?,Salsa,hand,False
ba/babb35db.jpg,What color is it?,Green,green,True
ba/babb35db.jpg,What shape is the container?,Round,round,True
28/282f1def.jpg,What is in the image?,Bag,hand,False
28/282f1def.jpg,What color is the bag?,White,black,False
28/282f1def.jpg,What is inside?,Blueberries,light,False
38/382328e6.jpg,What is in the image?,Bottle,medicine,False
38/382328e6.jpg,What color is the bottle?,Brown,blue,False
38/382328e6.jpg,What is the bottle holding?,Capsules,medicine,False
16/161021b3.jpg,What is depicted?,Foil,white screen,False
16/161021b3.jpg,What color is it?,Silver,white,False
16/161021b3.jpg,What is its shape?,Roll,square,False
86/86c84831.jpg,What is in the image?,Pan,man,False
86/86c84831.jpg,What color is it?,Black,white,False
86/86c84831.jpg,What is its shape?,Round,man,False
5b/5b77b8f6.jpg,What is in the image?,Marker,hand,False
5b/5b77b8f6.jpg,What color is it?,Black,white,False
5b/5b77b8f6.jpg,What is its shape?,Cylinder,hand,False
68/682113ff.jpg,What is in the image?,Bulb,light bulb,False
68/682113ff.jpg,What color is it?,White,white,True
68/682113ff.jpg,What is its shape?,Round,round,True
98/983c926b.jpg,What is in the image?,Container,medicine,False
98/983c926b.jpg,What color is the container?,Clear,white,False
98/983c926b.jpg,What is inside?,Cleaner,medicine,False
5c/5c63e516.jpg,What is shown?,Glass,glass,True
5c/5c63e516.jpg,What color is it?,Clear,white,False
5c/5c63e516.jpg,What is its shape?,Cylinder,rectangle,False
20/20148061.jpg,What is in the image?,Slicer,man,False
20/20148061.jpg,What color is it?,White,white,True
20/20148061.jpg,What shape is the base?,Round,square,False
9a/9a0b51da.jpg,What is in the image?,Bulb,light bulb,False
9a/9a0b51da.jpg,What color is it?,White,white,True
9a/9a0b51da.jpg,What shape is it?,Round,round,True
af/afeb66c0.jpg,What item is visible?,Blender,blender,True
af/afeb66c0.jpg,What is the primary color?,Red,white,False
af/afeb66c0.jpg,What shape is the handle?,Curved,round,False
cf/cf34487f.jpg,What is in the image?,Labels,man,False
cf/cf34487f.jpg,What color are the labels?,White,white,True
cf/cf34487f.jpg,What is the shape of the item?,Rectangle,rectangle,True
12/1253561d.jpg,What is in the image?,Prunes,phone,False
12/1253561d.jpg,What color are they?,Dark,white,False
12/1253561d.jpg,What is the shape?,Oval,square,False
a0/a0db302a.jpg,What is shown?,Ingredients,tea,False
a0/a0db302a.jpg,What word is in bold?,Ingredients,tea,False
a0/a0db302a.jpg,What type of tea is listed?,Green,green tea,False
2b/2b62b9df.jpg,What is pictured?,Bulb,light bulb,False
2b/2b62b9df.jpg,What color is it?,Blue,blue,True
2b/2b62b9df.jpg,How many are shown?,One,2,False
a4/a432bc66.jpg,What is in the image?,Salt,hand,False
a4/a432bc66.jpg,What color is the salt?,Pink,white,False
a4/a432bc66.jpg,What is the bag made of?,Plastic,leather,False
3d/3d10fd30.jpg,What is in the image?,Dispenser,vase,False
3d/3d10fd30.jpg,What color is it?,White,white,True
3d/3d10fd30.jpg,Is it transparent?,Yes,yes,True
a5/a57d10a3.jpg,What is depicted?,Holder,man,False
a5/a57d10a3.jpg,What color is it?,White,white,True
a5/a57d10a3.jpg,What is its shape?,Cone,man,False
46/46a2ede6.jpg,What is pictured?,Chair,chair,True
46/46a2ede6.jpg,What color is the seat?,Black,black,True
46/46a2ede6.jpg,What color are the legs?,Wood,brown,False
8a/8a412663.jpg,What is in the image?,Holder,phone,False
8a/8a412663.jpg,What color is the bottom?,Pink,pink,True
8a/8a412663.jpg,What is the primary color?,White,white,True
3b/3b968019.jpg,What is depicted?,Bulb,light bulb,False
3b/3b968019.jpg,What color is it?,White,white,True
3b/3b968019.jpg,What is its shape?,Teardrop,bulb,False
25/25cd1cf0.jpg,What is depicted?,Glass,glass,True
25/25cd1cf0.jpg,What is its color?,Clear,white,False
25/25cd1cf0.jpg,What is its shape?,Cylinder,round,False
b5/b5136328.jpg,What is in the image?,box,hand,False
b5/b5136328.jpg,What color is the box?,Green,green,True
b5/b5136328.jpg,How many boxes are shown?,One,1,True
2b/2bff80c5.jpg,What is depicted?,Device,phone,False
2b/2bff80c5.jpg,What color is it?,Black,white,False
2b/2bff80c5.jpg,What is its shape?,Rectangular,rectangle,False
06/06582a57.jpg,What is in the image?,Raisins,hand,False
06/06582a57.jpg,What color are they?,Brown,white,False
06/06582a57.jpg,What shape is the bag?,Square,round,False
0c/0c2abe90.jpg,What is shown?,Ingredients,sign,False
0c/0c2abe90.jpg,What color is the background?,Purple,purple,True
0c/0c2abe90.jpg,What is listed?,Salt,green sign,False
96/96610668.jpg,What is depicted?,Pen,hand,False
96/96610668.jpg,What color is the tip?,Red,red,True
96/96610668.jpg,How many pens are shown?,One,1,True
2d/2d09ff77.jpg,What item is visible?,House,scale,False
2d/2d09ff77.jpg,What color is it?,Beige,white,False
2d/2d09ff77.jpg,What shape is it?,House,rectangle,False
17/17c00fb4.jpg,What is in the image?,Bulb,hand,False
17/17c00fb4.jpg,What color is it?,White,white,True
17/17c00fb4.jpg,What is its shape?,Round,hand,False
b4/b4dd4570.jpg,What is in the image?,Kadai,man,False
b4/b4dd4570.jpg,What color is it?,Black,white,False
b4/b4dd4570.jpg,What shape is it?,Round,rectangle,False
23/23d8b8cf.jpg,What is in the image?,Puff,hand,False
23/23d8b8cf.jpg,What color is it?,Orange,yellow,False
23/23d8b8cf.jpg,What shape is it?,Curve,circle,False
ee/eef698a8.jpg,What is depicted?,Cup,cup,True
ee/eef698a8.jpg,What color is it?,White,white,True
ee/eef698a8.jpg,What is it made of?,Paper,plastic,False
92/92ce6bd6.jpg,What is pictured?,Handle,man,False
92/92ce6bd6.jpg,What color is it?,Black,white,False
92/92ce6bd6.jpg,What shape is it?,Bar,rectangle,False
7d/7db847b1.jpg,What is in the image?,Basket,person,False
7d/7db847b1.jpg,What color is it?,Beige,white,False
7d/7db847b1.jpg,What is its shape?,Cylinder,person,False
34/34037d73.jpg,What is in the image?,Drawers,container,False
34/34037d73.jpg,What color are they?,White,white,True
34/34037d73.jpg,How many are shown?,Three,2,False
5d/5d791a09.jpg,What is in the image?,Table,dog,False
5d/5d791a09.jpg,What color is it?,Merlot,red,False
5d/5d791a09.jpg,What is its shape?,Rectangular,round,False
78/784b58df.jpg,What is depicted?,Bottle,red bottle,False
78/784b58df.jpg,What color is the bottle?,Purple,purple,True
