path,question,gt_answer,pred_answer,is_correct
14/14fe8812.jpg,What is in the image?,Glass,glass,True
14/14fe8812.jpg,What is the primary color?,Clear,clear,True
14/14fe8812.jpg,How many items are present?,One,1,True
da/daab0cad.jpg,What is pictured?,Glass,glass,True
da/daab0cad.jpg,What is the shape?,Tall,rectangle,False
da/daab0cad.jpg,What is the primary color?,Clear,white,False
d2/d2daaae9.jpg,What is in the image?,Glass,wine glass,False
d2/d2daaae9.jpg,What is its shape?,Round,rectangle,False
d2/d2daaae9.jpg,Is it transparent?,Yes,yes,True
3a/3a4e88e6.jpg,What is in the image?,Glass,glass,True
3a/3a4e88e6.jpg,What color is the base?,Blue,clear,False
3a/3a4e88e6.jpg,How many glasses are there?,Three,2,False
d9/d91ab9cf.jpg,What is in the image?,Oil,nothing,False
d9/d91ab9cf.jpg,What color is it?,Gold,orange,False
d9/d91ab9cf.jpg,What is its texture?,Liquid,soft,False
20/20098c4d.jpg,What is in the image?,Oil,sign,False
20/20098c4d.jpg,What color is it?,Green,purple,False
20/20098c4d.jpg,What is the primary shade?,Olive,green,False
99/9987a1c8.jpg,What is in the image?,Stand,table,False
99/9987a1c8.jpg,What color is it?,Brown,black,False
99/9987a1c8.jpg,What shape is the top?,Rectangular,rectangle,False
89/89a2ff4d.jpg,What is in the image?,Sleeve,bench,False
89/89a2ff4d.jpg,What color is it?,Black,white,False
89/89a2ff4d.jpg,What is its shape?,Rectangle,rectangle,True
ee/ee239f0f.jpg,What is in the image?,Tree,table,False
ee/ee239f0f.jpg,What is the primary color?,Grey,white,False
ee/ee239f0f.jpg,What material is visible?,Wood,wood,True
75/75536bf9.jpg,What is shown?,Juice,sign,False
75/75536bf9.jpg,What color is it?,Yellow,yellow,True
75/75536bf9.jpg,What is listed?,Ingredients,school,False
82/82870e05.jpg,What is shown?,text,nothing,False
82/82870e05.jpg,What color is it?,green,green,True
82/82870e05.jpg,What is the ingredient?,Oil,bread,False
8d/8d32b49b.jpg,What is shown?,text,bridge,False
8d/8d32b49b.jpg,What color is it?,orange,orange,True
8d/8d32b49b.jpg,What is listed?,Ingredients,cake,False
db/db67ce7b.jpg,What is depicted?,Bracket,shadow,False
db/db67ce7b.jpg,What color is it?,White,white,True
db/db67ce7b.jpg,How many are shown?,Four,1,False
3b/3b629f59.jpg,What is pictured?,Bulb,light,False
3b/3b629f59.jpg,What shape is it?,Round,triangle,False
3b/3b629f59.jpg,What is its color?,Clear,black,False
5b/5bccefa9.jpg,What is depicted?,Brush,vase,False
5b/5bccefa9.jpg,What color is the handle?,Purple,green,False
5b/5bccefa9.jpg,What color are the bristles?,Black,white,False
b5/b516eb12.jpg,What is shown?,Cup,cup,True
b5/b516eb12.jpg,What color is it?,White,black,False
b5/b516eb12.jpg,What is it made of?,Paper,glass,False
88/8815de6b.jpg,What is depicted?,Cup,mug,False
88/8815de6b.jpg,What color is it?,White,black,False
88/8815de6b.jpg,What is it made of?,Paper,metal,False
a3/a3466a5b.jpg,What is shown?,Ingredients,water,False
a3/a3466a5b.jpg,What color is the background?,White,white,True
a3/a3466a5b.jpg,What color is the text?,Black,black,True
12/12bdb2fc.jpg,What is in the image?,bottle,bottle,True
12/12bdb2fc.jpg,What color is it?,white,red,False
12/12bdb2fc.jpg,How many bottles are shown?,One,1,True
5f/5f3015bc.jpg,What is in the image?,Roll,man,False
5f/5f3015bc.jpg,What color is the packaging?,Brown,white,False
5f/5f3015bc.jpg,What shape is the roll?,Rectangular,square,False
fd/fdce7f82.jpg,What is shown?,Box,man,False
fd/fdce7f82.jpg,What color is it?,White,black,False
fd/fdce7f82.jpg,What is its shape?,Rectangular,square,False
52/5277c8bb.jpg,What is in the image?,Plate,clock,False
52/5277c8bb.jpg,What color is it?,White,white,True
52/5277c8bb.jpg,What shape is it?,Round,circle,False
74/7497984e.jpg,What is in the image?,Ingredients,sign,False
74/7497984e.jpg,What color is the text?,Black,black,True
74/7497984e.jpg,What is the text about?,Oil,protest,False
ac/ac122ec8.jpg,What is pictured?,Bulb,toilet,False
ac/ac122ec8.jpg,What color is it?,White,white,True
ac/ac122ec8.jpg,What is its shape?,Reflector,round,False
1c/1c58212f.jpg,What is shown in the image?,Box,knife,False
1c/1c58212f.jpg,What color is the box?,Beige,white,False
1c/1c58212f.jpg,What is on the box?,Handle,paper,False
fa/fa1036e5.jpg,What is in the image?,bottle,phone,False
fa/fa1036e5.jpg,What color is it?,white,purple,False
fa/fa1036e5.jpg,What is the container made of?,plastic,plastic,True
dd/ddb15fbf.jpg,What item is visible?,Cup,scissors,False
dd/ddb15fbf.jpg,What color is it?,White,black,False
dd/ddb15fbf.jpg,What is it made of?,Paper,plastic,False
66/66dd9312.jpg,What is pictured?,Bulb,light,False
66/66dd9312.jpg,What color is it?,White,white,True
66/66dd9312.jpg,What is its shape?,Round,round,True
ff/fff2ce0a.jpg,What item is visible?,Bottle,phone,False
ff/fff2ce0a.jpg,What color is the bottle?,White,green,False
ff/fff2ce0a.jpg,What shape is the bottle?,Cylinder,square,False
89/8935d31b.jpg,What is in the image?,Caddy,man,False
89/8935d31b.jpg,What color is it?,White,black,False
89/8935d31b.jpg,How many baskets are shown?,Two,2,True
16/165b2093.jpg,What is in the image?,Bulb,glass,False
16/165b2093.jpg,What shape is it?,PAR30,round,False
16/165b2093.jpg,What color is it?,White,black,False
2e/2e5f2981.jpg,What is in the image?,Ball,apple,False
2e/2e5f2981.jpg,What color is it?,Red,red,True
2e/2e5f2981.jpg,What shape is it?,Sphere,round,False
75/7582424c.jpg,What is in the image?,Toothbrush,light,False
75/7582424c.jpg,What color is the handle?,Purple,green,False
75/7582424c.jpg,How many are shown?,One,1,True
