path,q1,a1,q2,a2,q3,a3
14/14fe8812.jpg,What is in the image?,Glass,What is the primary color?,Clear,How many items are present?,One
da/daab0cad.jpg,What is pictured?,Glass,What is the shape?,Tall,What is the primary color?,Clear
d2/d2daaae9.jpg,What is in the image?,Glass,What is its shape?,Round,Is it transparent?,Yes
3a/3a4e88e6.jpg,What is in the image?,Glass,What color is the base?,Blue,How many glasses are there?,Three
d9/d91ab9cf.jpg,What is in the image?,Oil,What color is it?,Gold,What is its texture?,Liquid
20/20098c4d.jpg,What is in the image?,Oil,What color is it?,Green,What is the primary shade?,Olive
99/9987a1c8.jpg,What is in the image?,Stand,What color is it?,Brown,What shape is the top?,Rectangular
89/89a2ff4d.jpg,What is in the image?,Sleeve,What color is it?,Black,What is its shape?,Rectangle
ee/ee239f0f.jpg,What is in the image?,Tree,What is the primary color?,Grey,What material is visible?,Wood
75/75536bf9.jpg,What is shown?,Juice,What color is it?,Yellow,What is listed?,Ingredients
82/82870e05.jpg,What is shown?,text,What color is it?,green,What is the ingredient?,Oil
8d/8d32b49b.jpg,What is shown?,text,What color is it?,orange,What is listed?,Ingredients
db/db67ce7b.jpg,What is depicted?,Bracket,What color is it?,White,How many are shown?,Four
3b/3b629f59.jpg,What is pictured?,Bulb,What shape is it?,Round,What is its color?,Clear
5b/5bccefa9.jpg,What is depicted?,Brush,What color is the handle?,Purple,What color are the bristles?,Black
b5/b516eb12.jpg,What is shown?,Cup,What color is it?,White,What is it made of?,Paper
88/8815de6b.jpg,What is depicted?,Cup,What color is it?,White,What is it made of?,Paper
a3/a3466a5b.jpg,What is shown?,Ingredients,What color is the background?,White,What color is the text?,Black
12/12bdb2fc.jpg,What is in the image?,bottle,What color is it?,white,How many bottles are shown?,One
5f/5f3015bc.jpg,What is in the image?,Roll,What color is the packaging?,Brown,What shape is the roll?,Rectangular
fd/fdce7f82.jpg,What is shown?,Box,What color is it?,White,What is its shape?,Rectangular
52/5277c8bb.jpg,What is in the image?,Plate,What color is it?,White,What shape is it?,Round
74/7497984e.jpg,What is in the image?,Ingredients,What color is the text?,Black,What is the text about?,Oil
ac/ac122ec8.jpg,What is pictured?,Bulb,What color is it?,White,What is its shape?,Reflector
1c/1c58212f.jpg,What is shown in the image?,Box,What color is the box?,Beige,What is on the box?,Handle
fa/fa1036e5.jpg,What is in the image?,bottle,What color is it?,white,What is the container made of?,plastic
dd/ddb15fbf.jpg,What item is visible?,Cup,What color is it?,White,What is it made of?,Paper
66/66dd9312.jpg,What is pictured?,Bulb,What color is it?,White,What is its shape?,Round
ff/fff2ce0a.jpg,What item is visible?,Bottle,What color is the bottle?,White,What shape is the bottle?,Cylinder
89/8935d31b.jpg,What is in the image?,Caddy,What color is it?,White,How many baskets are shown?,Two
16/165b2093.jpg,What is in the image?,Bulb,What shape is it?,PAR30,What color is it?,White
2e/2e5f2981.jpg,What is in the image?,Ball,What color is it?,Red,What shape is it?,Sphere
75/7582424c.jpg,What is in the image?,Toothbrush,What color is the handle?,Purple,How many are shown?,One
e7/e7790be4.jpg,What item is visible?,Bulb,What is its shape?,Glass,What is its color?,Clear
42/42711cf5.jpg,What is in the image?,Can,What color is it?,Pink,How many?,Twelve
7f/7f52f0ad.jpg,What is in the image?,Drawer,What color is it?,White,How many are shown?,One
43/4323cfbb.jpg,What is in the image?,Handle,What color is it?,Black,What shape is it?,Square
10/1041934c.jpg,What is in the image?,Pan,What color is it?,Steel,What is the handle made of?,Metal
a3/a3132c0d.jpg,What item is visible?,Raisins,What color are they?,Brown,What is the packaging?,Bag
71/71ea22d7.jpg,What is depicted?,Peeler,What color is the handle?,Green,What is the primary color?,Grey
9d/9d0d49d0.jpg,What is in the image?,Bulb,What shape is it?,Round,What color is it?,White
fa/fad382fa.jpg,What is depicted?,Glass,What is its color?,Clear,What is it made of?,Plastic
ba/babb35db.jpg,What is in the image?,Salsa,What color is it?,Green,What shape is the container?,Round
28/282f1def.jpg,What is in the image?,Bag,What color is the bag?,White,What is inside?,Blueberries
38/382328e6.jpg,What is in the image?,Bottle,What color is the bottle?,Brown,What is the bottle holding?,Capsules
16/161021b3.jpg,What is depicted?,Foil,What color is it?,Silver,What is its shape?,Roll
86/86c84831.jpg,What is in the image?,Pan,What color is it?,Black,What is its shape?,Round
5b/5b77b8f6.jpg,What is in the image?,Marker,What color is it?,Black,What is its shape?,Cylinder
68/682113ff.jpg,What is in the image?,Bulb,What color is it?,White,What is its shape?,Round
98/983c926b.jpg,What is in the image?,Container,What color is the container?,Clear,What is inside?,Cleaner
5c/5c63e516.jpg,What is shown?,Glass,What color is it?,Clear,What is its shape?,Cylinder
20/20148061.jpg,What is in the image?,Slicer,What color is it?,White,What shape is the base?,Round
9a/9a0b51da.jpg,What is in the image?,Bulb,What color is it?,White,What shape is it?,Round
af/afeb66c0.jpg,What item is visible?,Blender,What is the primary color?,Red,What shape is the handle?,Curved
cf/cf34487f.jpg,What is in the image?,Labels,What color are the labels?,White,What is the shape of the item?,Rectangle
12/1253561d.jpg,What is in the image?,Prunes,What color are they?,Dark,What is the shape?,Oval
a0/a0db302a.jpg,What is shown?,Ingredients,What word is in bold?,Ingredients,What type of tea is listed?,Green
2b/2b62b9df.jpg,What is pictured?,Bulb,What color is it?,Blue,How many are shown?,One
a4/a432bc66.jpg,What is in the image?,Salt,What color is the salt?,Pink,What is the bag made of?,Plastic
3d/3d10fd30.jpg,What is in the image?,Dispenser,What color is it?,White,Is it transparent?,Yes
a5/a57d10a3.jpg,What is depicted?,Holder,What color is it?,White,What is its shape?,Cone
46/46a2ede6.jpg,What is pictured?,Chair,What color is the seat?,Black,What color are the legs?,Wood
8a/8a412663.jpg,What is in the image?,Holder,What color is the bottom?,Pink,What is the primary color?,White
3b/3b968019.jpg,What is depicted?,Bulb,What color is it?,White,What is its shape?,Teardrop
